dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,0.137977,14.000000,0.139977,1.399768,6.998839,34.994194,0.000000
0.200000,0.557907,14.000000,0.559907,2.799535,6.998839,0.000000,0.000000
0.200000,1.031551,14.000000,1.033551,1.936899,-4.313183,-56.560108,0.000000
0.200000,1.278954,14.000000,1.280954,0.537131,-6.998839,-13.428280,0.000000
0.200000,1.332667,14.000000,1.334667,0.000000,-2.685656,21.565914,0.000000
0.200000,1.332667,14.000000,1.334667,0.000000,0.000000,13.428280,0.000000
0.200000,1.332667,14.000000,1.334667,0.000000,0.000000,0.000000,0.000000
