dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,0.137977,14.975000,0.139977,1.399768,6.998839,34.994194,0.000000
0.200000,0.557907,14.975000,0.559907,2.099652,3.499419,-17.497097,0.000000
0.200000,1.031551,14.975000,1.033551,2.368217,1.342828,-10.782957,0.000000
0.200000,1.278954,14.975000,1.280954,1.237015,-5.656011,-34.994194,0.000000
0.200000,1.332667,14.975000,1.334667,0.268566,-4.842247,4.068817,0.000000
0.200000,1.332667,14.975000,1.334667,0.000000,-1.342828,17.497097,0.000000
0.200000,1.332667,14.975000,1.334667,0.000000,0.000000,6.714140,0.000000
